material_id,formula_pretty,energy_above_hull,is_stable,theoretical,has_icsd,nsites,nelements,crystal_system,space_group,chemsys,elements,synth_class,synthesizable,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-1186602,PmNdHg2,0.0,True,True,False,4,3,Cubic,Fm-3m,Hg-Nd-Pm,"['Hg', 'Nd', 'Pm']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1206662,Cs2TiI6,0.0,True,True,False,9,3,Cubic,Fm-3m,Cs-I-Ti,"['Cs', 'I', 'Ti']",0,0,0.8486855577264172,3,0.6666666666666666,0.3703703703703702,"{""C:12"": 2, ""O:6"": 1, ""S:1"": 6}",9
mp-1187208,Ta2ReW,0.0,True,True,False,4,3,Cubic,Fm-3m,Re-Ta-W,"['Re', 'Ta', 'W']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-10405,Yb(AlSi)2,0.0,True,False,True,5,3,Trigonal,P-3m1,Al-Si-Yb,"['Al', 'Si', 'Yb']",0,1,1.0549201679861442,3,0.4,0.1333333333333335,"{""HP:12"": 1, ""BS_2:10"": 2, ""FO:7"": 2}",5
mp-1207086,MgAlB4,0.0,True,True,False,6,3,Hexagonal,P6/mmm,Al-B-Mg,"['Al', 'B', 'Mg']",0,0,0.8675632284814612,3,0.6666666666666666,0.3333333333333335,"{""UNKNOWN:18"": 1, ""HP:12"": 1, ""O:6"": 4}",6
mp-8919,ErPPd,0.0,True,False,True,12,3,Orthorhombic,Pnma,Er-P-Pd,"['Er', 'P', 'Pd']",0,1,1.0986122886681096,3,0.3333333333333333,0.0,"{""DI:11"": 4, ""TT_1:9"": 4, ""C:12"": 4}",12
mp-4782,CaSnF6,0.0,True,False,True,8,3,Trigonal,R-3,Ca-F-Sn,"['Ca', 'F', 'Sn']",0,1,0.5623351446188083,2,0.75,0.25,"{""O:6"": 2, ""L:2"": 6}",8
mp-1211536,K2TmF5,0.0,True,True,False,32,3,Orthorhombic,Pnma,F-K-Tm,"['F', 'K', 'Tm']",0,0,1.559581156259877,5,0.25,0.1500000000000001,"{""TT_1:9"": 8, ""ST:7"": 4, ""BO_2:8"": 8, ""SS:9"": 4, ""BS_2:10"": 8}",32
mp-11859,La(SiAu)2,0.0,True,False,True,5,3,Tetragonal,I4/mmm,Au-La-Si,"['Au', 'La', 'Si']",0,1,1.0549201679861442,3,0.4,0.1333333333333335,"{""UNKNOWN:16"": 1, ""T:5"": 2, ""C:12"": 2}",5
mp-3415,Yb(SiRu)2,0.0,True,False,True,5,3,Tetragonal,I4/mmm,Ru-Si-Yb,"['Ru', 'Si', 'Yb']",0,1,1.0549201679861442,3,0.4,0.1333333333333335,"{""UNKNOWN:16"": 1, ""SMA:9"": 2, ""DD:8"": 2}",5
mp-1193210,Pb3Se2(IO3)2,0.0,True,False,True,26,4,Monoclinic,C2/c,I-O-Pb-Se,"['I', 'O', 'Pb', 'Se']",0,1,1.4180693652516905,5,0.4615384615384615,0.3076923076923079,"{""BO_3:8"": 2, ""SA:8"": 4, ""TY:3"": 4, ""AC:12"": 4, ""S:1"": 12}",26
mp-2213,FeNi,0.0,True,False,True,4,2,Tetragonal,P4/mmm,Fe-Ni,"['Fe', 'Ni']",0,1,-0.0,1,1.0,0.0,"{""C:12"": 4}",4
mp-28330,TeAuCl7,0.0,True,False,True,18,3,Triclinic,P-1,Au-Cl-Te,"['Au', 'Cl', 'Te']",0,1,1.4270610433807245,5,0.4444444444444444,0.3111111111111111,"{""S:5"": 2, ""S:4"": 2, ""S:1"": 8, ""A:2"": 4, ""TS:3"": 2}",18
mp-7931,SrP,0.0,True,False,True,12,2,Hexagonal,P-62m,P-Sr,"['P', 'Sr']",0,1,0.6931471805599453,2,0.5,0.0,"{""T:6"": 6, ""FO:7"": 6}",12
mp-867127,ScCdAg2,0.0,True,True,False,4,3,Cubic,Fm-3m,Ag-Cd-Sc,"['Ag', 'Cd', 'Sc']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-31009,Ho(NiB)2,0.0,True,False,True,10,3,Monoclinic,C2/c,B-Ho-Ni,"['B', 'Ho', 'Ni']",0,1,1.0549201679861442,3,0.4,0.1333333333333335,"{""UNKNOWN:14"": 2, ""T:6"": 4, ""PP:5"": 4}",10
mp-25423,LiVPO4F,0.0,True,False,True,32,5,Triclinic,P-1,F-Li-O-P-V,"['F', 'Li', 'O', 'P', 'V']",0,1,1.8195113489698564,7,0.25,0.267857142857143,"{""T:5"": 4, ""O:6"": 4, ""T:4"": 4, ""TL:3"": 8, ""TY:3"": 2, ""TS:3"": 2, ""A:2"": 8}",32
mp-646605,SrNi2Te3(ClO4)2,0.0,True,False,True,64,5,Monoclinic,P2_1/c,Cl-Ni-O-Sr-Te,"['Cl', 'Ni', 'O', 'Sr', 'Te']",0,1,1.5808185358593017,6,0.375,0.3541666666666665,"{""TT_1:9"": 4, ""O:6"": 8, ""SS:4"": 8, ""TY:3"": 24, ""SY:4"": 4, ""TL:3"": 16}",64
mp-1147618,K6ZnS4,0.0,True,True,False,22,3,Hexagonal,P6_3mc,K-S-Zn,"['K', 'S', 'Zn']",0,0,1.499030672979008,5,0.2727272727272727,0.218181818181818,"{""TBSA:10"": 6, ""DI:11"": 6, ""T:4"": 2, ""ST:7"": 2, ""SBT:8"": 6}",22
mp-1205987,Dy2MgCu2,0.0,True,True,False,10,3,Tetragonal,P4/mbm,Cu-Dy-Mg,"['Cu', 'Dy', 'Mg']",0,0,1.0549201679861442,3,0.4,0.1333333333333335,"{""PP:10"": 4, ""UNKNOWN:14"": 2, ""TT_1:9"": 4}",10
mp-971799,DyYHg2,0.0,True,True,False,4,3,Cubic,Fm-3m,Dy-Hg-Y,"['Dy', 'Hg', 'Y']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-557132,Os2O3F7,0.0,True,False,True,48,3,Monoclinic,P2_1/c,F-O-Os,"['F', 'O', 'Os']",0,1,1.234267866079077,5,0.5833333333333334,0.4333333333333335,"{""O:6"": 8, ""S:1"": 28, ""SBT:8"": 4, ""TY:3"": 4, ""BO_1:8"": 4}",48
mp-5942,NaAsS2,0.0,True,False,True,16,3,Monoclinic,P2_1/c,As-Na-S,"['As', 'Na', 'S']",0,1,1.3862943611198906,4,0.25,0.0,"{""O:6"": 4, ""TY:3"": 4, ""SS:4"": 4, ""S:5"": 4}",16
mp-755865,TbNiO3,0.0,True,True,False,20,3,Orthorhombic,Pnma,Ni-O-Tb,"['Ni', 'O', 'Tb']",0,0,1.3321790402101223,4,0.4,0.1500000000000001,"{""SBT:8"": 4, ""O:6"": 4, ""SS:4"": 4, ""S:5"": 8}",20
mp-1019094,PrGeAu,0.0,True,False,True,6,3,Hexagonal,P6_3mc,Au-Ge-Pr,"['Au', 'Ge', 'Pr']",0,1,0.6365141682948128,2,0.6666666666666666,0.1666666666666665,"{""HP:12"": 2, ""TT_1:9"": 4}",6
mp-569136,K3Cu11Te16,0.0,True,False,True,60,3,Orthorhombic,Imma,Cu-K-Te,"['Cu', 'K', 'Te']",0,1,1.9163683941284804,8,0.2666666666666666,0.3166666666666669,"{""BO_3:8"": 4, ""DD:20"": 2, ""PP:6"": 8, ""S:5"": 16, ""O:6"": 6, ""T:6"": 4, ""T:4"": 12, ""SS:4"": 8}",60
mp-867188,RbNpCuS3,0.0,True,False,True,12,4,Orthorhombic,Cmcm,Cu-Np-Rb-S,"['Cu', 'Np', 'Rb', 'S']",0,1,1.5607104090414063,5,0.3333333333333333,0.1333333333333333,"{""TBSA:10"": 2, ""O:6"": 2, ""T:4"": 2, ""TY:3"": 4, ""SY:4"": 2}",12
mp-27443,Ba2MnO3,0.0,True,True,False,24,3,Monoclinic,C2/c,Ba-Mn-O,"['Ba', 'Mn', 'O']",0,0,1.9072839993213788,7,0.1666666666666666,0.1190476190476188,"{""ST:7"": 4, ""PB:7"": 4, ""T:4"": 4, ""S:5"": 4, ""SS:4"": 4, ""O:6"": 2, ""L:2"": 2}",24
mp-1203440,LiZnSO4F,0.0,True,False,True,32,5,Orthorhombic,Pnma,F-Li-O-S-Zn,"['F', 'Li', 'O', 'S', 'Zn']",0,1,1.559581156259877,5,0.25,0.1500000000000001,"{""O:6"": 8, ""T:4"": 8, ""TL:3"": 8, ""S:1"": 4, ""L:2"": 4}",32
mp-1186577,PmEuRh2,0.0,True,True,False,4,3,Cubic,Fm-3m,Eu-Pm-Rh,"['Eu', 'Pm', 'Rh']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1190715,Er3FeB7,0.0,True,False,True,22,3,Orthorhombic,Cmcm,B-Er-Fe,"['B', 'Er', 'Fe']",0,1,1.4681399390162084,5,0.3636363636363636,0.290909090909091,"{""SH:13"": 6, ""UNKNOWN:16"": 2, ""O:6"": 4, ""T:5"": 8, ""SY:4"": 2}",22
mp-8491,LiInP2O7,0.0,True,False,True,22,4,Monoclinic,P2_1,In-Li-O-P,"['In', 'Li', 'O', 'P']",0,1,1.540305825226517,6,0.4545454545454545,0.3484848484848482,"{""SS:4"": 2, ""O:6"": 2, ""T:4"": 4, ""A:2"": 10, ""S:1"": 2, ""TY:3"": 2}",22
mp-1103255,UB4W,0.0,True,False,True,12,3,Orthorhombic,Cmmm,B-U-W,"['B', 'U', 'W']",0,1,1.2424533248940002,4,0.5,0.25,"{""UNKNOWN:18"": 2, ""T:5"": 6, ""ST:7"": 2, ""SH:13"": 2}",12
mp-1191916,Ag5PSeO4,0.0,True,False,True,22,4,Tetragonal,P4/nmm,Ag-O-P-Se,"['Ag', 'O', 'P', 'Se']",0,1,1.3896811919839047,5,0.3636363636363636,0.3272727272727274,"{""BO_2:8"": 8, ""SA:8"": 2, ""T:4"": 2, ""C:8"": 2, ""S:1"": 8}",22
mp-1203567,KV2SeO7,0.0,True,False,True,44,4,Orthorhombic,Pnma,K-O-Se-V,"['K', 'O', 'Se', 'V']",0,1,1.7986522062521288,7,0.2727272727272727,0.2597402597402598,"{""PCPA:11"": 4, ""O:6"": 4, ""T:4"": 4, ""TY:3"": 4, ""L:2"": 12, ""A:2"": 12, ""S:1"": 4}",44
mp-1195488,SrFeNi2(PO4)3,0.0,True,False,True,38,5,Orthorhombic,Imma,Fe-Ni-O-P-Sr,"['Fe', 'Ni', 'O', 'P', 'Sr']",0,1,1.4658712232324764,5,0.3157894736842105,0.2736842105263157,"{""BO_2:8"": 2, ""O:6"": 6, ""T:4"": 6, ""A:2"": 12, ""TY:3"": 12}",38
mp-22180,Dy(GePd)2,0.0,True,False,True,5,3,Tetragonal,I4/mmm,Dy-Ge-Pd,"['Dy', 'Ge', 'Pd']",0,1,1.0549201679861442,3,0.4,0.1333333333333335,"{""UNKNOWN:16"": 1, ""SMA:9"": 2, ""C:12"": 2}",5
mp-29356,NaTi2O4,0.0,True,False,True,28,3,Orthorhombic,Pnma,Na-O-Ti,"['Na', 'O', 'Ti']",0,1,1.277034259466139,4,0.4285714285714285,0.25,"{""SBT:8"": 4, ""O:6"": 8, ""S:5"": 12, ""T:5"": 4}",28
