material_id,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-581413,2.0262296229952916,9,0.26666666666666666,0.2962962962962963,"{""O:6"": 8, ""SS:9"": 4, ""HB:8"": 4, ""S:5"": 4, ""S:1"": 16, ""TY:3"": 4, ""SY:4"": 12, ""A:2"": 4, ""PCPA:11"": 4}",60
mp-5610,1.0549201679861442,3,0.4,0.13333333333333353,"{""UNKNOWN:16"": 1, ""SMA:9"": 2, ""C:12"": 2}",5
mp-1100726,-0.0,1,1.0,0.0,"{""O:6"": 32}",32
mp-34009,0.6829081047004717,2,0.5714285714285714,0.0714285714285714,"{""DDPN:8"": 6, ""TO_3:9"": 8}",14
mp-1101225,1.3296613488547582,4,0.3333333333333333,0.16666666666666652,"{""O:6"": 6, ""T:4"": 6, ""L:2"": 12, ""A:2"": 12}",36
mp-1103527,1.1537419427010902,4,0.5714285714285714,0.3214285714285714,"{""DI:11"": 2, ""T:4"": 2, ""UNKNOWN:15"": 2, ""S:1"": 8}",14
mp-1103036,0.9164648855394713,3,0.5454545454545454,0.3030303030303032,"{""C:12"": 6, ""DI:11"": 4, ""C:8"": 1}",11
mp-802021,2.3712222593811223,15,0.225,0.43333333333333335,"{""S:1"": 8, ""O:6"": 9, ""BO_1:8"": 1, ""C:8"": 1, ""C:12"": 1, ""S:5"": 2, ""PP:5"": 1, ""ET:7"": 1, ""T:6"": 4, ""ST:7"": 3, ""T:5"": 2, ""T:4"": 2, ""SS:4"": 1, ""TT_2:9"": 3, ""DDPN:8"": 1}",40
mp-1191170,1.2424533248940002,4,0.5,0.25,"{""UNKNOWN:18"": 4, ""SH:13"": 4, ""T:5"": 12, ""ST:7"": 4}",24
mp-1095296,1.2636544318820964,4,0.36363636363636365,0.25,"{""PB:7"": 4, ""BS_1:10"": 2, ""O:6"": 1, ""T:4"": 4}",11
mp-23533,0.8486855577264172,3,0.6666666666666666,0.37037037037037024,"{""C:12"": 2, ""O:6"": 1, ""S:1"": 6}",9
mp-1046696,1.5247073930301436,6,0.46153846153846156,0.3717948717948716,"{""SBT:8"": 4, ""C:8"": 2, ""T:4"": 2, ""S:5"": 12, ""A:2"": 2, ""TL:3"": 4}",26
mp-19354,1.0627375681569962,4,0.6,0.42500000000000004,"{""I:12"": 1, ""O:6"": 4, ""S:4"": 3, ""T:4"": 12}",20
mp-998615,0.9502705392332347,3,0.6,0.2666666666666666,"{""O:6"": 2, ""C:12"": 2, ""SS:4"": 6}",10
mp-974372,-0.0,1,1.0,0.0,"{""AC:12"": 8}",8
