formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
Ca2Co2O5,0.0,-2.184804022499999,0.010988743333325,4.170781669006097,885.5166153587053
Ca2CoIrO6,0.0,-2.12642163525,0.0,6.012154052724168,472.07882302054605
Ca2CoTeO6,1.6102999999999992,-2.354738702166666,0.0,4.9484644702621985,486.8205909205243
Ca2CrOsO6,0.17249999999999902,-2.248063635499999,0.26530168662500103,5.374714448488206,258.51935038927405
Ca2CrSbO6,2.0309,-2.706853443499999,0.0030332756250010004,5.05308813561291,459.94585361803087
Ca2CuO3,0.0,-2.528575830833333,0.0017539077777790001,4.254713841767185,74.81717525868144
Ca2Fe2O5,0.8630999999999991,-2.456190248055555,0.0,4.056789948641229,445.08680725058156
Ca2FeSbO6,1.4857,-2.54563916075,0.0,4.8619888213575475,483.28205134360906
Ca2GeO4,3.6002,-2.990227975714284,0.0,3.538853715204209,406.9049145967089
Ca2HoTaO6,4.054699999999999,-3.615605410733333,0.005196382187508001,6.513717220530268,266.16206258645946
Ca2LaTaO6,4.0074,-3.592058270233335,0.0004898949999970001,6.017829238395568,273.732235879647
Ca2MgSi2O7,4.467700000000001,-3.374635929583332,0.022590285555558,2.865338749063019,315.9899419845207
Ca2MgWO6,3.6923,-2.9928794245,0.0,5.288938761406692,241.31148976399996
Ca2MnNbO6,0.0,-3.001140919793104,0.013132983374999001,4.435708831272272,485.16203910755695
Ca2MnO4,0.0,-2.748383880775861,0.0072738084523820004,4.096632487686326,322.80118399673455
Ca2MnRuO6,0.0,-2.394197838793103,0.0,4.6784882975720254,235.78787002117076
Ca2MnSbO6,1.472899999999999,-2.609256500793104,0.005057323124995,4.811778773355341,487.0730565039011
Ca2Nb2O7,3.011,-3.297524677045454,0.0,4.407434871173202,569.605619609044
Ca2NiWO6,2.933,-2.6081808730000002,0.0,5.797794515487967,239.83055131513552
Ca2P2O7,5.7341999999999995,-3.213395772435064,0.0,2.95039552553195,572.0478500557318
Ca2RuO4,0.0,-2.520399839285713,0.014668997500000001,4.612350542465202,353.14173465631717
Ca2Sb2O7,1.743399999999999,-2.5944479686363593,0.0,5.164943632742013,280.138601912242
Ca2Si5N8,3.344899999999999,-1.406582083333332,0.0,3.061091496205796,360.8888530350522
Ca2SiO4,4.199400000000001,-3.476631411785713,0.0,2.962860651405768,386.1265013733575
Ca2SnO4,2.7198,-2.88604820642857,0.0,4.75787697463859,183.48321291778336
Ca2Ta2O7,3.3532,-3.483381799774892,0.0,6.3064528718959565,2042.3916447994354
Ca2TiMnO6,1.947,-3.040507400126437,0.0052926824166690005,4.168488150808367,444.49663147210015
Ca2V2O7,2.9553000000000003,-2.908076423636363,0.0,3.354658337289996,291.0915051542013
Ca3FeRhO6,0.8859,-2.460654356818181,0.016226191250008,4.61549196506979,539.6351577610537
Ca3Mn2WO9,0.32030000000000003,-2.695963664057473,0.029390416791656004,5.165726238527901,717.412353629527
Ca3PbO,0.0,-1.689312636999997,0.0,5.011409566417091,113.79724006134056
Ca3Ru2O7,0.0,-2.404844892916665,0.001732184583336,4.947587796119716,291.5715908333831
Ca3Si2O7,4.659,-3.462348215,0.0023735313888890003,2.90206826203845,660.0820545858656
Ca3SiO5,3.985099999999999,-3.418580365987654,0.020137263734567,3.057810041787006,2231.764670509304
Ca3Ti2O7,2.5302,-3.511848975138888,0.002560221250003,3.791381905306774,287.2813744077432
Ca3WO6,3.706,-3.081071199499997,0.0,4.751220194575889,279.6471227954062
Ca3ZrSi2O9,4.4939,-3.538771304166668,0.0,3.3780282162638082,809.3680985181588
Ca4Al6CrO16,2.8012,-3.227927518888888,0.0,2.561665891630804,408.50422806217125
Ca4Bi6O13,2.169199999999999,-2.002518771902175,0.0,7.195485934701986,374.3602929753474
Ca4GeN4,1.409,-1.005702749166666,0.0,3.43994983755151,557.9855631391922
Ca4Nb2O9,3.3225,-3.3351709735000012,0.0,4.177617928651784,779.2597202297453
Ca4Si2O7F2,4.8233,-3.629979529999999,0.0,2.89550905874691,840.6771300470194
CaAl12O19,4.345099999999999,-3.429087312968749,0.011496644218750001,3.686139274175254,601.70424142624
CaAl2O4,4.5893999999999995,-3.4544079598809523,0.0007486029761240001,2.9398926917337933,1071.1794954786044
CaAl2SiO6,4.605699999999999,-3.4282547425,0.016791177138881,3.319302729055449,436.4792904162378
CaAl4O7,3.9994,-3.463972205833334,0.0,2.895907407393032,298.1725731238635
CaAlB3O7,5.376600000000001,-3.132661587708333,0.016416642410748,3.354839260177406,209.3600444851464
CaAlF5,7.1538,-4.010018601428571,0.008530122142859,2.9449556937406682,182.7483773616725
CaAlH5,2.6885,-0.37470763410714203,0.0,1.7220285972422151,556.1979751516271
